Nama Perusahaan,Nama Kapal,Ukuran Kapal (GT),Tanggal Keberangkatan,Tanggal Kedatangan,Alat Penangkapan Ikan,Jenis Ikan,Estimasi Nakhoda (kg),Volume Ril (kg),Harga Acuan Ikan per Kg (Rp),Nilai Produksi (Rp),Besar Pungutan Hasil Perikanan
6,4,188,2024-01-08,2024-10-17,0,21,500,745,22000,16390000,100615100
6,4,188,2024-01-08,2024-10-17,0,11,2000,2187,22000,48114000,100615100
6,4,188,2024-01-08,2024-10-17,0,3,95400,95970,9500,911715000,100615100
6,4,188,2024-01-08,2024-10-17,0,18,1500,2083,8500,17705500,100615100
6,4,188,2024-01-08,2024-10-17,0,10,100,152,17000,2584000,100615100
6,4,188,2024-01-08,2024-10-17,0,9,500,1015,9500,9642500,100615100
0,22,70,2024-09-27,2024-11-10,2,11,50,52,22000,1144000,6627160
0,22,70,2024-09-27,2024-11-10,2,21,200,234,22000,5148000,6627160
0,22,70,2024-09-27,2024-11-10,2,22,1200,1256,28000,35168000,6627160
0,22,70,2024-09-27,2024-11-10,2,8,30,28,11800,330400,6627160
0,22,70,2024-09-27,2024-11-10,2,0,530,508,18000,9144000,6627160
0,22,70,2024-09-27,2024-11-10,2,7,30,22,22500,495000,6627160
0,22,70,2024-09-27,2024-11-10,2,14,405,273,21100,5760300,6627160
0,22,70,2024-09-27,2024-11-10,2,17,160,95,22000,2090000,6627160
0,22,70,2024-09-27,2024-11-10,2,6,25,22,11500,253000,6627160
0,22,70,2024-09-27,2024-11-10,2,13,200,237,12000,2844000,6627160
0,22,70,2024-09-27,2024-11-10,2,3,76,77,9500,731500,6627160
0,22,70,2024-09-27,2024-11-10,2,1,35,17,20200,343400,6627160
0,22,70,2024-09-27,2024-11-10,2,15,115,141,20000,2820000,6627160
5,21,58,2024-09-27,2024-11-10,2,11,60,64,22000,1408000,567600
5,21,58,2024-09-27,2024-11-10,2,21,120,158,22000,3476000,567600
5,21,58,2024-09-27,2024-11-10,2,22,180,231,28000,6468000,567600
0,22,70,2024-04-10,2024-10-15,2,11,100,111,22000,2442000,1702600
0,22,70,2024-04-10,2024-10-15,2,21,276,262,22000,5764000,1702600
0,22,70,2024-04-10,2024-10-15,2,22,338,315,28000,8820000,1702600
7,8,196,2024-08-29,2024-01-10,0,3,101000,103858,9500,986651000,120439350
7,8,196,2024-08-29,2024-01-10,0,11,3800,4477,22000,98494000,120439350
7,8,196,2024-08-29,2024-01-10,0,21,3200,3504,22000,77088000,120439350
7,8,196,2024-08-29,2024-01-10,0,18,2500,3567,8500,30319500,120439350
7,8,196,2024-08-29,2024-01-10,0,9,500,822,9500,7809000,120439350
7,8,196,2024-08-29,2024-01-10,0,16,300,576,7000,4032000,120439350
10,12,198,2024-08-29,2024-01-10,0,3,98000,101392,9500,963224000,121015900
10,12,198,2024-08-29,2024-01-10,0,18,2000,3377,8500,28704500,121015900
10,12,198,2024-08-29,2024-01-10,0,16,500,681,7000,4767000,121015900
10,12,198,2024-08-29,2024-01-10,0,9,500,1285,9500,12207500,121015900
10,12,198,2024-08-29,2024-01-10,0,11,9000,9148,22000,201256000,121015900
10,16,95,2024-08-29,2024-01-10,1,11,1000,1183,22000,26026000,14424200
10,16,95,2024-08-29,2024-01-10,1,3,11000,11451,9500,108784500,14424200
10,16,95,2024-08-29,2024-01-10,1,16,210,235,7000,1645000,14424200
10,16,95,2024-08-29,2024-01-10,1,9,225,281,9500,2669500,14424200
10,16,95,2024-08-29,2024-01-10,1,18,500,602,8500,5117000,14424200
5,24,133,2024-04-10,2024-10-14,1,21,100,119,22000,2618000,29237050
5,24,133,2024-04-10,2024-10-14,1,11,1300,1312,22000,28864000,29237050
5,24,133,2024-04-10,2024-10-14,1,3,26200,26309,9500,249935500,29237050
5,24,133,2024-04-10,2024-10-14,1,16,200,209,7000,1463000,29237050
5,24,133,2024-04-10,2024-10-14,1,9,200,225,9500,2137500,29237050
5,24,133,2024-04-10,2024-10-14,1,18,500,865,8500,7352500,29237050
5,9,134,2024-04-10,2024-10-14,0,21,150,163,22000,3586000,27935800
5,9,134,2024-04-10,2024-10-14,0,11,1700,1832,22000,40304000,27935800
5,9,134,2024-04-10,2024-10-14,0,3,23700,23981,9500,227819500,27935800
5,9,134,2024-04-10,2024-10-14,0,16,200,165,7000,1155000,27935800
5,9,134,2024-04-10,2024-10-14,0,10,100,115,17000,1955000,27935800
5,9,134,2024-04-10,2024-10-14,0,9,250,263,9500,2498500,27935800
5,9,134,2024-04-10,2024-10-14,0,18,100,240,8500,2040000,27935800
11,5,138,2024-04-10,2024-10-14,0,3,22600,23020,9500,218690000,30588250
11,5,138,2024-04-10,2024-10-14,0,11,2400,2525,22000,55550000,30588250
11,5,138,2024-04-10,2024-10-14,0,18,1700,1935,8500,16447500,30588250
11,5,138,2024-04-10,2024-10-14,0,21,100,200,22000,4400000,30588250
11,5,138,2024-04-10,2024-10-14,0,10,600,635,17000,10795000,30588250
6,15,198,2024-06-27,2024-07-10,0,11,7100,8336,22000,183392000,116454700
6,15,198,2024-06-27,2024-07-10,0,3,85400,95448,9500,906756000,116454700
6,15,198,2024-06-27,2024-07-10,0,18,2500,3259,8500,27701500,116454700
6,15,198,2024-06-27,2024-07-10,0,16,555,542,7000,3794000,116454700
6,15,198,2024-06-27,2024-07-10,0,10,98,82,17000,1394000,116454700
6,15,198,2024-06-27,2024-07-10,0,21,935,926,22000,20372000,116454700
6,15,198,2024-06-27,2024-07-10,0,9,2000,2225,9500,21137500,116454700
5,9,134,2024-10-17,2024-10-27,0,21,250,317,22000,6974000,27021500
5,9,134,2024-10-17,2024-10-27,0,11,750,770,22000,16940000,27021500
5,9,134,2024-10-17,2024-10-27,0,3,24400,24763,9500,235248500,27021500
5,9,134,2024-10-17,2024-10-27,0,18,900,924,8500,7854000,27021500
5,9,134,2024-10-17,2024-10-27,0,16,120,131,7000,917000,27021500
5,9,134,2024-10-17,2024-10-27,0,10,50,61,17000,1037000,27021500
5,9,134,2024-10-17,2024-10-27,0,9,100,131,9500,1244500,27021500
5,20,129,2024-10-17,2024-10-27,0,21,200,221,22000,4862000,10677050
5,20,129,2024-10-17,2024-10-27,0,11,150,164,22000,3608000,10677050
5,20,129,2024-10-17,2024-10-27,0,3,9600,9687,9500,92026500,10677050
5,20,129,2024-10-17,2024-10-27,0,18,300,529,8500,4496500,10677050
5,20,129,2024-10-17,2024-10-27,0,16,30,36,7000,252000,10677050
5,20,129,2024-10-17,2024-10-27,0,10,50,59,17000,1003000,10677050
5,20,129,2024-10-17,2024-10-27,0,9,50,55,9500,522500,10677050
5,24,133,2024-10-17,2024-10-27,1,21,350,362,22000,7964000,37574400
5,24,133,2024-10-17,2024-10-27,1,11,300,340,22000,7480000,37574400
5,24,133,2024-10-17,2024-10-27,1,3,35500,35959,9500,341610500,37574400
5,24,133,2024-10-17,2024-10-27,1,18,1500,1642,8500,13957000,37574400
5,24,133,2024-10-17,2024-10-27,1,16,150,157,7000,1099000,37574400
5,24,133,2024-10-17,2024-10-27,1,10,100,107,17000,1819000,37574400
5,24,133,2024-10-17,2024-10-27,1,9,150,191,9500,1814500,37574400
